lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_new,posterior_support_volume,mode_count,phi_min,phi_max,alpha_min,alpha_max,alpha_EC_min,alpha_EC_max,posterior_prob,posterior_prob_log
58,1,0.014827711398244249,0.021197770892167164,0.008505190983322957,6.138526657624132,3.486043275185829,0.004287958082978582,0.007342434279002013,-5.368229001762468,-5.505597603233403,1e-06,0,0.014827711398244249,0.014827711398244249,0.021197770892167164,0.021197770892167164,0.008505190983322957,0.008505190983322957,0.002508659736636259,0.00016833177658735245
67,1,0.013984820715507417,0.013944656941598688,0.007653753596520461,6.105598115956383,3.4838544113892973,0.004985684725409067,0.007598837542010129,-6.642230215816369,-5.652097573038147,1e-06,0,0.013984820715507417,0.013984820715507417,0.013944656941598688,0.013944656941598688,0.007653753596520461,0.007653753596520461,0.0007016977150815836,0.0001453924913982861
51,1,0.007137954718333168,0.017176914921581826,0.003114168858726277,6.125875197066824,3.4840729102000334,0.00525707228272397,0.01015825551307973,-3.4020254858482426,-6.764492812739837,0.0,0,,,,,,,0.0179206227206238,4.7800766888545244e-05
55,1,0.013433852470156422,0.02455952206474069,0.007308026493671798,6.1411204113736435,3.499480907043226,0.004755625383263831,0.012417877970697102,-4.616474516678405,-8.026698706802268,0.0,0,,,,,,,0.005320158659630498,1.3529003509131811e-05
46,1,0.008471480696218371,0.08026424397760828,0.004002262091605833,6.149686376302473,3.47425682493338,0.004542361550064672,0.02140019243518828,-1.5964413954099685,-8.332815825473938,0.0,0,,,,,,,0.10902053373923838,9.961410423220639e-06
78,1,0.020216932992462,0.013634162450037486,0.013207719222223892,6.12486445939806,3.4956964353964475,0.00393192432241168,0.015076568661374891,-8.534868745102365,-8.953977820962262,0.0,0,,,,,,,0.00010572740985410638,5.352462175932346e-06
65,1,0.025428367063141725,0.03553367849050083,0.01779568465247586,6.1028528534326245,3.470661431366689,0.00449629370689999,0.019194780587770414,-5.497919082053913,-10.686202389997096,0.0,0,,,,,,,0.0022035254626302223,9.467995333670615e-07
34,1,0.00017203568499072903,0.8566299981846034,1.0526300545464167e-05,6.058558812125937,3.472658206623828,0.004597759716063039,0.06860126415925621,-1.4748392865169486,-11.925205379529135,0.0,0,,,,,,,0.12311739810526183,2.7426214847438544e-07
66,1,0.013984820715507417,0.013944656941598688,0.007653753596520461,6.080000522642533,3.478577158897503,0.004985684725409067,0.03226658338245525,-6.555211483267922,-14.328860571404274,0.0,0,,,,,,,0.0007654940470684161,2.4789723774817224e-08
72,1,0.02497893956980062,0.02350716616512585,0.017508761700928816,6.10845536614004,3.4607157664251758,0.004267802948397144,0.039732800363575925,-6.578649395098053,-15.676378425273704,0.0,0,,,,,,,0.0007477610886165886,6.44246576442702e-09
41,1,0.0001722918264912805,0.0010860090726971337,1.0476732539988052e-05,6.039590227550832,3.5105142217083563,0.004610354342311982,0.12043398677629573,-1.6939629229364723,-19.16841128768545,0.0,0,,,,,,,0.0988906525384681,1.9610177135547166e-10
71,1,0.015701938109804643,0.012669654139834634,0.008702872144125833,6.089433740900572,3.46229107004963,0.005879156430595755,0.0755176373209419,-7.633011157068149,-21.314020552840717,0.0,0,,,,,,,0.0002605309762154528,2.2943266641367153e-11
36,1,0.00016887400657484807,0.0035511173054068048,1.0379055560730272e-05,6.011613932284556,3.5145103643159583,0.004510444376750822,0.20846837699730353,-1.5302759804192831,-21.43401954690265,0.0,0,,,,,,,0.11647791245930217,2.0348872538974668e-11
47,1,0.007501473573226767,0.10323777803897967,0.0033996662045939264,6.183256338260319,3.44121165306753,0.004651317314987291,0.15897756282340486,-1.5928790454706043,-22.6437835651286,0.0,0,,,,,,,0.10940959560681023,6.0694105318710125e-12
37,1,0.00016249281855201198,0.005535530136675839,1.0591197771022892e-05,5.993796873435509,3.5214160793808813,0.0045642556777315225,0.2894440039276362,-1.5047307970781314,-23.61336898755256,0.0,0,,,,,,,0.1194916919767901,2.301764646145973e-12
37,2,1.0018851333290591e-05,0.00030729160766704647,0.04299233303865204,5.9959737818462315,3.5188848636416448,4.983100491205564e-05,3.9065471792903073,-4.177679221881358,-27.63102110788032,0.0,0,,,,,,,0.00825070309989337,4.1420636584755327e-14
45,2,0.003198233458633009,0.015649833618835294,0.009372982915113775,6.121308127412162,3.4884578344332904,4.983100328272895e-05,3.6326369243605083,-4.281114836299051,-27.63102110926188,0.0,0,,,,,,,0.007439940165394813,4.1420636527530315e-14
49,2,0.055170185466749844,0.18056559179477993,0.2187797057538073,6.124804257769119,3.4860512017849286,4.982264135490669e-05,3.6332161501176676,-5.653198102224645,-27.631021114697997,0.0,0,,,,,,,0.0018866061755458132,4.142063630236273e-14
53,2,0.19792424917870857,0.957514796907677,0.847711418213432,6.131169787920658,3.480246994236675,4.944483830585759e-05,3.642914176840739,-6.976443707287987,-27.631021115619962,0.0,0,,,,,,,0.0005023460448190561,4.1420636264174366e-14
