lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_new,posterior_support_volume,mode_count,phi_min,phi_max,alpha_min,alpha_max,alpha_EC_min,alpha_EC_max,posterior_prob,posterior_prob_log
75,2,0.005765551573501765,0.029626606814058036,0.003948827407743313,7.696865909891296,4.337653181682106,0.0016093228091922005,0.0007753759023005411,-0.7556127381280933,1.1026435554899219,6.5e-05,1,0.0023458415804017895,0.054475879279089284,0.011598063357458815,0.5590975257903122,0.0012040444791804198,0.04884663134753323,0.15991565642818242,0.4615757565261793
75,1,0.0013194188156847517,0.007172428919700254,0.0011311592775698296,7.677634096685909,4.342813788042071,0.0015785950060364293,0.0016704907379278652,-0.8553432268750162,0.3968982867286034,4e-05,1,0.0003858132362787171,0.0017397867241783977,0.0020145777685638424,0.009870363790786168,0.0002998760639156066,0.0015196314640426342,0.14473667257189615,0.22789862993263038
78,2,0.0064588761383068015,0.028602101037278022,0.004702723685721803,7.69841725985889,4.336209115555656,0.0015293351965608318,0.0016236587663913927,-0.9455547374183688,0.19943227650880438,2.6e-05,2,0.0040594763346998115,0.015600881509266045,0.018205703078236282,0.07563287757145326,0.002529839690442349,0.012271772626318744,0.13225138319547347,0.18706102758012674
78,1,0.0009145748936331085,0.004237982842285013,0.0007696471187266643,7.7009504741002575,4.339350481868735,0.0015843648956252896,0.001142795707169521,-1.0443065402500857,-0.2162163137535248,1.7e-05,1,0.00060953654200353,0.0017364234569963184,0.002847113319930356,0.008818424781011105,0.0005043380374361722,0.0014722613928206056,0.11981546012312645,0.12344384101786156
76,1,3.9046443782865896e-05,0.5813955240308563,1.1131993065164266e-05,7.626379275626865,4.359355001611413,0.0015804181335049383,0.049074573622061024,-0.5120672222130176,-9.458346010029167,0.0,0,,,,,,,0.20401469893145482,1.1958136277673323e-05
76,2,0.0011281411636648421,0.6718838902768298,2.4175375662335977e-05,7.62314142847661,4.357032357754426,0.0015672078478822325,0.050583936029646025,-0.40380344901867626,-9.766506550843152,0.0,0,,,,,,,0.2273420742072934,8.78680677095194e-06
74,2,0.011076019844511509,0.027810971552469317,0.4718863039064557,7.692175622711715,4.3397629834661196,0.008761903627330642,1.1054375949013635,-3.3517015170574043,-27.630979050008364,0.0,0,,,,,,,0.011924054542573524,1.5324603530593214e-13
