lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_new,posterior_support_volume,mode_count,phi_min,phi_max,alpha_min,alpha_max,alpha_EC_min,alpha_EC_max,posterior_prob,posterior_prob_log
45,1,0.00012188222845643103,0.0005936621477437294,1.4076886216230136e-05,6.134278846203823,3.482208717176019,0.00305006232383241,0.0010775863752701528,-1.7507286083039713,2.6673684806456297,0.000378,1,0.00010421863372976949,0.0006702537372629472,0.0004977405641955038,0.003337191659962561,1.001175510942428e-05,0.0002570407618649435,0.13240116219590348,0.8588794911568511
48,1,0.005279924368726667,0.018514545872742285,0.002284395919427802,6.147217737907647,3.4832529411584265,0.00303650255636802,0.0008490605716206417,-2.7102854628499657,-0.32978597013432603,1e-05,1,0.004201386952168192,0.00738555716285526,0.01443997655812584,0.027114374349408325,0.0017024060178185525,0.003550900630360269,0.05071793354212917,0.04288294402363854
46,1,0.011105772253348103,0.11509301602962778,0.006129582239201137,6.151431531575588,3.4759888731847366,0.0030451773990558435,0.002621430560619655,-1.6684650971446542,-0.5325100344749722,4.9e-05,2,0.005467689514069796,0.034131155475619415,0.04774355932554033,0.9761942182487535,0.0024472010226068656,0.029082754832176743,0.14375348639103427,0.035014074433612284
50,1,0.007833657968193807,0.017783628908496434,0.0038144648119944457,6.1370268550165274,3.4777935235253503,0.0031497656887815384,0.0009631759391088491,-3.7070181559942488,-0.8999592054026955,3e-06,1,0.006422341672182176,0.007833657968193807,0.014432280928894536,0.017783628908496434,0.0029559379168013567,0.0038144648119944457,0.01871914643686865,0.024247194898524706
59,1,0.04708279874328503,0.10554752446312506,0.3260743162019934,6.152267139289445,3.4767159868828035,0.003141867871334107,0.0024843647580016434,-4.896335406900188,-0.972606208243281,2.1e-05,2,0.03636067334103623,0.048728078781715846,0.07845728257329214,0.10993868593972064,0.031406131165034115,0.8350387671696657,0.00569865181273586,0.02254817053895137
51,1,0.006207259027537202,0.014787651619782755,0.002836688452424561,6.140133177550711,3.4815947735986374,0.003298641404548208,0.002006774941774106,-3.4606050707629175,-1.8203621931570082,1e-06,0,0.006207259027537202,0.006207259027537202,0.014787651619782755,0.014787651619782755,0.002836688452424561,0.002836688452424561,0.02394979966060133,0.009659075586352001
53,1,0.011259086460528816,0.02191350922239407,0.006648897492428512,6.131033059358043,3.4745794876469116,0.0031082497919808784,0.0036647854976308474,-4.165844300490269,-2.7276793857894837,3e-06,1,0.010320092492150454,0.011259086460528816,0.02073408360330309,0.021925649057751358,0.00596220324932139,0.006648897492428512,0.01183097070554843,0.0038984566966800845
64,1,0.034238633903307045,0.05879488185148576,0.029085952015109745,6.136696021672779,3.4902568756392442,0.0031235675515654707,0.004371841695218105,-5.250575073485143,-3.463290007666379,2e-06,1,0.029319714396487676,0.034238633903307045,0.049420796638080966,0.05879488185148576,0.022990718657803923,0.029085952015109745,0.003998782565617905,0.0018681901614957933
49,1,0.004739202770137856,0.012996402529546374,0.0024198790286618682,6.151105351264607,3.4743597122431713,0.0033632778484467087,0.006581720097413734,-2.983352163075155,-4.566535664095732,2e-06,1,0.004739202770137856,0.006607960679694174,0.012996402529546374,0.018584947386752676,0.0024198790286618682,0.0036241572179405977,0.03859847880926691,0.0006198513905792537
67,1,0.013311508212349731,0.013196611061730316,0.00780655585488536,6.117882845292471,3.4796452769084616,0.0029920657760927867,0.009281338879954564,-6.666004388924556,-6.40572053564647,1e-06,0,0.013311508212349731,0.013311508212349731,0.013196611061730316,0.013196611061730316,0.00780655585488536,0.00780655585488536,0.0009709897574112817,9.85234789889347e-05
78,1,0.019797244272276505,0.01328734507847322,0.013142873769271242,6.131366964001041,3.489935147836238,0.003403708578269296,0.00971417304349467,-8.543820633345174,-6.786910188720875,1e-06,0,0.019797244272276505,0.019797244272276505,0.01328734507847322,0.01328734507847322,0.013142873769271242,0.013142873769271242,0.00014848733602598836,6.729629829346058e-05
68,1,0.01723266047766168,0.019015814891664484,0.011073166494108052,6.146146541715471,3.495616298246135,0.003019775288843871,0.010393723664755893,-6.285626580267941,-6.906183594659141,0.0,0,,,,,,,0.0014203998967771147,5.972984586015698e-05
72,1,0.026894272781383358,0.026519081894495564,0.020448513751753918,6.129778482796787,3.49427877338401,0.0031713930737940787,0.010544571454540111,-6.5894456326136375,-7.20008963091823,0.0,0,,,,,,,0.0010482471592470409,4.451943297304267e-05
43,1,0.00013905057324591153,0.0005289465475446687,1.5508259483390803e-05,6.107919588152628,3.4902911458930963,0.003026252197403821,0.02135417181785116,-2.2625498443902874,-7.456506709115288,0.0,0,,,,,,,0.07936164454004717,3.4449990154706146e-05
66,1,0.011414063032946955,0.011240708739308606,0.0064147195691203526,6.135035321138074,3.469325323523483,0.002808848550546264,0.011849881268154156,-6.576036249129489,-7.8092193683846665,0.0,0,,,,,,,0.0010623981735378442,2.421073312513191e-05
55,1,0.014304256008626155,0.025339318567908362,0.008541675924040934,6.114444360412852,3.487551284060166,0.003127591374998784,0.013189493833984114,-4.654700114640872,-7.892785500810141,0.0,0,,,,,,,0.007256262688130901,2.2269764801324383e-05
65,1,0.025644660758728614,0.037129143350967925,0.019602549549218255,6.126696875441151,3.486953319734326,0.002723067443415418,0.013509423848083305,-5.484709173818085,-8.486657830870126,0.0,0,,,,,,,0.0031640595026154847,1.2297027787924586e-05
54,1,0.009234703850343372,0.015466484270227057,0.00476045664820424,6.126176770064817,3.497326005939306,0.003086947208458347,0.015916396173829915,-4.661207379222126,-8.523257818478974,0.0,0,,,,,,,0.007209197565629428,1.1855093450885913e-05
57,1,0.01629866741656109,0.02702213184480489,0.010115861719098961,6.117659551184965,3.470153034200806,0.0032896226450858873,0.015891410268562098,-4.93963246880786,-8.99610672757088,0.0,0,,,,,,,0.005457182117704931,7.388381458803841e-06
34,1,0.00012414889500555936,0.6899549557074042,1.005535978941686e-05,6.058756698391526,3.472748372328799,0.0031070317471877033,0.10517279832512774,-1.6504894728871844,-15.544595872006926,0.0,0,,,,,,,0.1463609098709672,1.0582215698100778e-08
47,1,0.007945796441523297,0.11501136938042825,0.003919508723433713,6.186350279792573,3.442612884156417,0.003187956306947275,0.09692059006154675,-1.63626740722357,-18.629958286786408,0.0,0,,,,,,,0.14845733676581155,4.837497327880726e-10
37,1,0.00011306839902808223,0.003458316048876975,1.0023707689090015e-05,5.993311585034845,3.5192712980953273,0.0030503992049869663,0.3928672241129562,-1.7275932737512532,-26.34151246058596,0.0,0,,,,,,,0.13550001566543007,2.1653859450136626e-13
45,2,1.0748072697240281e-05,5.291732287719538e-05,1.6676061807516073e-05,6.138060310453152,3.4820187924251726,4.983100491205562e-05,3.332134974130505,-4.0054317019942545,-27.63102110194626,0.0,0,,,,,,,0.013889502343029226,5.963604396510037e-14
37,2,1.02694967414611e-05,0.00029002524830331017,0.00012459776488366874,5.994636286513172,3.5171151763213087,4.983100491205563e-05,3.711466249996693,-3.993372727958844,-27.63102110282772,0.0,0,,,,,,,0.014058009460622113,5.963604391253357e-14
49,2,0.029564822370401207,0.0846905876703904,0.2177731515218207,6.141690436662191,3.4805060844343787,4.982971783805016e-05,3.331891691254178,-5.283807387378933,-27.63102111285197,0.0,0,,,,,,,0.003868077611088703,5.963604331472706e-14
53,2,0.07934393037261801,0.17417434628862583,0.6596277330653303,6.149843765791672,3.476752334164147,4.98061267194073e-05,3.3339842633716734,-6.542284992822905,-27.63102111512369,0.0,0,,,,,,,0.0010988674262179844,5.963604317925053e-14
