lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_T,posterior_support_volume,mode_count,posterior_prob
54,2,1.003108868798113e-05,0.976919528017225,0.004520185471655893,6.8011828777529475,3.883669839801777,0.0004634228400740086,0.03035126774173119,-0.20365389930532746,-0.06067211245474709,0.0,0,0.3787617911998161
67,2,0.00902997715285469,0.0768793978950684,0.007756766826916637,6.82088916322202,3.9094715153897015,0.00048759224624896465,2.0149823656330317e-05,-0.3231251137451746,-0.13844905730143653,0.0070777777777777775,3,0.33610925600174757
67,1,0.0008750145147102682,0.007397754487366737,0.0008682559957907185,6.822851161767935,3.9095404165406236,0.0004758376808222549,0.0003075867616221666,-0.48761984362880206,-0.14899414331155686,0.005744444444444444,3,0.28512895279843614
