lithology,ibeta,phi,alpha,alpha_EC,Vp_model,Vs_model,Sigma_model,best_obj,log_marginal_likelihood,log_marginal_new,posterior_support_volume,mode_count,phi_min,phi_max,alpha_min,alpha_max,alpha_EC_min,alpha_EC_max,posterior_prob,posterior_prob_log
26,1,0.019378838284615577,0.13529503745144678,0.016061342798825658,5.676130109270768,3.4081840848975666,0.00058296029896051,0.0004168002200221235,-1.9868657508818137,4.125596704397517,0.000842,1,0.007074716253637485,0.03096772132887675,0.03965002981874053,0.30024299194375215,0.004183923164260948,0.9749158664827671,0.13034264090524433,0.7715531349265655
40,1,0.029505121230036725,0.09202184910641917,0.07445593364551682,5.68759665067163,3.406078490674655,0.000582463205092336,0.0017287894671259192,-2.9132105560027597,2.158995106573957,0.000254,2,0.023398103307430577,0.03077944532972335,0.06900703191881757,0.09872033778453722,0.021187690333967057,0.9753379965958491,0.05161549289071952,0.10796465918879682
24,1,0.0008187528354392992,0.0033840928812272305,0.00030645098576588005,5.682121398587042,3.4098262426689416,0.0005722375635577434,0.0002228601894233518,-2.0639939105993417,1.6786369588183623,0.000174,4,5.769893074945882e-05,0.0022039662932984384,0.00022572987887863074,0.009353831497032259,1.0031582462626414e-05,0.000961535783451735,0.12066746300744821,0.06678281560889403
74,1,0.029640455756188445,0.019385991900386815,0.030976903137966926,5.685310458550281,3.4105535486931533,0.0005822097509581493,0.0005003230498227829,-6.642866698325123,0.44759689963038585,7e-06,2,0.029020833224076566,0.030128900101927238,0.018814741070290263,0.01969276664222249,0.030976903137966926,0.4242253863257545,0.0012388279548314635,0.019499829791604775
31,1,0.012923300627506603,0.04939691018385919,0.009282198885056051,5.685331613120444,3.4129586301524926,0.0005517698589962918,0.002338179291184469,-2.3693211477030363,-0.255908046109155,0.000143,2,0.010603609805101307,0.030288515113174545,0.036402315037828696,0.14579482161255414,0.007052997891125464,0.915191255464062,0.08891770557753018,0.00964944876726776
27,1,0.004745924724405509,0.013629019656976174,0.002493530878074679,5.682833560163606,3.41284431058218,0.0005680315153962288,0.0008215961888261514,-2.5046317509072287,-0.28567786753426966,1.9e-05,1,0.0033080824605810502,0.006062005148239904,0.009215569968644682,0.017466156511137088,0.0015691172503230842,0.003393335312695572,0.07766468754636248,0.0093664201585364
33,1,0.010574057333737934,0.03072199229833616,0.00702066764219383,5.67519784661018,3.405951318583976,0.0005939041775126735,0.0013864407084073565,-2.590182588035231,-0.6417695975535992,1.3e-05,1,0.009060343452914288,0.014234963638782135,0.025349689702693193,0.04547534641276938,0.005770809251339782,0.010491122373753122,0.0712966858953786,0.006560319064878244
38,1,0.011246635825734161,0.029081259885927878,0.0075888795799808504,5.682424951542459,3.413999738163249,0.0006121369790497329,0.002147136260786859,-2.826964326632318,-0.8575339177129081,1.1e-05,1,0.008765343868781188,0.013775919819187136,0.02170445142551242,0.03686132341030457,0.005496991666388874,0.010002236759751761,0.056264743117675604,0.005287126584451999
39,1,0.01874997578807454,0.05522525609580249,0.015294287515063457,5.674707514271398,3.41738689642279,0.0005940411857292161,0.0033002574725948344,-2.805106742874399,-1.326411560757166,1.4e-05,1,0.013775919819187136,0.022199777023767894,0.03686132341030457,0.06768471214408572,0.010002236759751761,0.01958048552522089,0.057508093267109005,0.003308176980573863
35,1,0.026190354403113354,0.11683825119513253,0.024671810998948548,5.701994759158988,3.3941501782312096,0.0005972445657050604,0.020669074837667535,-2.411226849254057,-6.14813104384158,0.0,0,,,,,,,0.08526854114821171,2.664051220511608e-05
43,1,0.0298654527551016,0.07526090813399625,0.2942848454531052,5.709903840305911,3.393096803834437,0.0005957865835292122,0.02932513962533181,-3.4048933909665404,-9.074595346049641,0.0,0,,,,,,,0.03156784509613037,1.4275629650590373e-06
54,1,0.030936229543238353,0.04139992396330613,0.19248115565250978,5.7257239867283065,3.386079769311759,0.0006619593346948652,0.07165626851081434,-4.751220857388088,-16.777257253011264,0.0,0,,,,,,,0.008213766399806774,6.447208427685158e-10
78,1,0.032663162641008686,0.020130198127890037,0.06703471676446553,5.711869945209105,3.398184402433318,0.0007791113723540587,0.06650072175877766,-6.932476779375688,-17.911584906449768,0.0,0,,,,,,,0.0009273313386745254,2.0736691652485218e-10
23,1,6.859639311172619e-05,0.8200916091241842,1.0920594297723233e-05,5.728820944174958,3.342871149260434,0.0005783825682484094,0.2563595320957481,-2.4443824475304115,-24.214589389383324,0.0,0,,,,,,,0.0824877655280622,3.7964650273784414e-13
19,1,6.042005724473324e-05,0.9641071574695754,1.0830296035662453e-05,5.6507605212524785,3.3388699433066233,0.0005835939080220901,0.2564528083556191,-2.5008665328444155,-24.37913098251989,0.0,0,,,,,,,0.07795766324332479,3.220474743911749e-13
50,1,0.030929276057420917,0.05236700371407537,0.27409824631675234,5.760241086726684,3.364806563954771,0.0006615130769002503,0.21668583954820123,-4.443487350992871,-25.337210719333584,0.0,0,,,,,,,0.011173501999490078,1.2354670143520537e-13
62,1,0.03240363389681005,0.03321014849267463,0.05306903516359841,5.7537496875462315,3.3742097987131463,0.0007606935880003834,0.1905978116991905,-5.5170590159777655,-25.487913887491477,0.0,0,,,,,,,0.0038189419861007078,1.0626288443282844e-13
49,1,0.030628846676240568,0.06034957996583436,0.168257523240969,5.75763797106161,3.3604918117824627,0.0006506085879173369,0.22713621513497126,-4.136584705027624,-25.549211805046458,0.0,0,,,,,,,0.015187120425318735,9.994481145044218e-14
58,1,0.0321683520231256,0.03686533916429848,0.4009264349814343,5.760313796330504,3.363125685031392,0.0007442370412782699,0.24623043046331503,-5.347389413162912,-26.8565326846116,0.0,0,,,,,,,0.004525115130721358,2.7039459676104185e-14
68,1,0.03309569513257752,0.030429301433653154,0.04526299247195618,5.7573539220400605,3.3709189402102178,0.0008104811080041633,0.23041961446237796,-5.836284456041218,-26.867821631058707,0.0,0,,,,,,,0.0027752698263808556,2.6735929157243356e-14
25,1,5.850694504209886e-05,9.013345269747074e-05,1.0506517939382288e-05,5.534598756804968,3.4434902491796233,0.0005654377565113675,0.4180607373941945,-4.915284231566769,-27.622433216865478,0.0,0,,,,,,,0.00697092691065718,1.2571052325588327e-14
72,1,0.03665189908931696,0.030184162347207864,0.781615014522804,5.786513364599704,3.3491087089655722,0.0011008148763418713,0.567034482325205,-6.532315702217553,-27.630671547078897,0.0,0,,,,,,,0.001383638648563917,1.2467913275513462e-14
35,2,0.11609731169856104,0.9769583009467399,0.1835397874229735,5.747642925128814,3.3740748545873265,8.179374153968388e-06,3.576752864330861,-4.916756227383556,-27.631021113000337,0.0,0,,,,,,,0.006960673283904848,1.246355567959877e-14
40,2,0.1576673389170526,0.971750384184052,0.9211897853054352,5.7510570796801534,3.379778897562589,8.160085085617039e-06,3.5686977631273207,-5.595597335121317,-27.63102111457461,0.0,0,,,,,,,0.0035304844451769014,1.246355565997775e-14
19,2,1.0009222002311544e-05,0.8304578709828179,0.04524853950102564,5.650981124244454,3.338984654997629,2.1749592597692412e-07,5.881880227298508,-6.718773372611127,-27.631021115855848,0.0,0,,,,,,,0.0011482729840723203,1.2463555644008988e-14
49,2,0.2349331262212518,0.9710691973800613,0.677431981093123,5.811553601644043,3.32081778290328,8.085969228671047e-06,4.123138687916101,-7.675876668251172,-27.631021115859514,0.0,0,,,,,,,0.0004409409842702748,1.2463555643963293e-14
53,2,0.28794982378253475,0.9744685001503562,0.6249722260263629,5.852164860947042,3.3350516096418525,7.996606082605217e-06,4.232450088238895,-8.782137308967798,-27.63102111590862,0.0,0,,,,,,,0.00014586045883292,1.2463555643351261e-14
